question,example,reasoning,solution
Write a function to count the number of occurrences of a specific value in a list.,"Input: [1, 2, 2, 3, 4, 2, 5, 2]; Output: 3","To count the number of occurrences of a specific value in a list, we iterate through the list and keep a count of the number of times the target value appears.",Use the built-in `count` method of the list object. Here's the Python code:
Implement a pointer-based algorithm to find the second largest number in a list.,"Input: [1, 2, 3, 4, 5]; Output: 4","We use two pointers, one to traverse the list and find the maximum number, and another to find the second maximum number. If the second maximum number is less than the current number, we update the second maximum number. If the second maximum number is equal to the current number and the maximum number is not yet found, we update the maximum number and the second maximum number.","def second_largest(nums):
    max_num, second_max_num = float('-inf'), float('-inf')
    for num in nums:
        if num > max_num:
            second_max_num, max_num = max_num, num
        elif num > second_max_num and num != max_num:
            second_max_num = num
    return second_max_num"
Write a function to count the number of unique pairs in a list of tuples where each tuple contains two integers.,"Input: [(1, 2), (2, 1), (3, 4), (4, 3), (2, 2)]; Output: 2","We can solve this problem by using a set to store the unique pairs. We iterate through the list of tuples and for each tuple, we convert it to a string and add it to the set. Since sets do not allow duplicate elements, the number of elements in the set after iteration will be the number of unique pairs.","def count_unique_pairs(lst):
    pairs = set()
    for pair in lst:
        pair_str = str(pair)
        pairs.add(pair_str)
    return len(pairs)"
Count the number of unique elements in a list that appear more than n times.,"Input: [1, 2, 2, 3, 4, 4, 4, 5, 5, 5]; n = 2
Output: 3","1. Initialize an empty dictionary to store the count of each element.
2. Iterate through the list and update the count of each element in the dictionary.
3. Iterate through the dictionary and find the elements that appear more than n times.
4. Return the count of these elements.","def count_more_than_n(lst, n):
    count = {} 
    for i in lst:
        if i in count:
            count[i] += 1
        else:
            count[i] = 1
    res = []
    for k, v in count.items():
        if v > n:
            res.append(k)
    return len(res)"
Write a recursive function to find the Fibonacci number at the nth position.,Input: 7; Output: 13,"The Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding ones, usually starting with 0 and 1. To find the nth Fibonacci number, we can use a recursive function that calls itself with n-1 and n-2 until it reaches the base cases of 0 and 1.","```python
def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n-1) + fibonacci(n-2)

# Test the function
print(fibonacci(7)) # Output: 13```"
Implement Depth-First Search (DFS) to find a path from a source node to a target node in a directed graph.,"Input: adjacency_list = [(), (2), (1, 3), (0, 4), (2)]; source = 1; target = 4; Output: True","To find a path from a source node to a target node in a directed graph, we use Depth-First Search (DFS). We start from the source node and explore as far as possible along each branch before backtracking. If we reach the target node during this exploration, we return True. If we exhaust all branches without reaching the target node, we return False.","```python
import collections

class Graph: 
    def __init__(self, vertices): 
        self.graph = collections.defaultdict(list)
        self.V = vertices

    def add_edge(self, u, v): 
        self.graph[u].append(v)

    def is_reachable(self, src, dest): 
        visited = [False] * self.V
        stack = [src]
        visited[src] = True
        while stack: 
            s = stack.pop()
            if s == dest: 
                return True
            for i in self.graph[s]: 
                if not visited[i]: 
                    visited[i] = True
                    stack.append(i)
        return False

# Test the function
graph = Graph(6)
graph.add_edge(1, 2)
graph.add_edge(2, 3)
graph.add_edge(1, 4)
graph.add_edge(4, 5)
graph.add_edge(5, 6)
graph.add_edge(4, 0)
print(graph.is_reachable(1, 4)) # True
print(graph.is_reachable(1, 6)) # True
print(graph.is_reachable(1, 7)) # False```"
Implement a pointer-based algorithm to find the second largest number in a list.,"Input: [3, 6, 2, 7, 1]; Output: 6","We can solve this problem by iterating through the list and using two pointers, one for the largest number and another for the second largest number. Initially, the second largest number is set to None. As we iterate through the list, we update the largest number and the second largest number if the current number is greater than the second largest number and less than the largest number.","def second_largest(nums):
    if len(nums) < 2:
        return None
    max_num = max(nums)
    max_index = nums.index(max_num)
    nums[max_index] = -1
    second_max = None
    for i in range(len(nums)):
        if nums[i] != -1 and (second_max is None or nums[i] > second_max):
            second_max = nums[i]
    return second_max"
Write a recursive function to find the Fibonacci number at a given position.,"Input: 8
Output: 21","The task requires finding the Fibonacci number at a given position using recursion. The Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding ones, usually starting with 0 and 1.","```python
def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n - 1) + fibonacci(n - 2)

input_num = int(input())
print(fibonacci(input_num))```"
"Given a list of integers, sort the list using the Merge Sort algorithm and find the median of the sorted list.","Input: [3, 5, 1, 2, 6, 4]
Output: 3","First, we divide the list into two halves and sort each half using the Merge Sort algorithm. Then, we find the median of the sorted list by checking if the list has an odd or even number of elements. If the list has an odd number of elements, the median is the middle element. If the list has an even number of elements, the median is the average of the two middle elements.","```python
import sys
input = sys.stdin.readline

def merge_sort(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    return merge(left, right)

def merge(left, right):
    result = []
    i = j = 0
    while i < len(left) and j < len(right):
        if left[i] < right[j]:
            result.append(left[i])
            i += 1
        else:
            result.append(right[j])
            j += 1
    result += left[i:]
    result += right[j:]
    return result

N = int(input())
arr = list(map(int, input().split()))
arr = merge_sort(arr)
if len(arr) % 2 == 1:
    print(arr[len(arr) // 2])
else:
    print((arr[len(arr) // 2 - 1] + arr[len(arr) // 2]) / 2)
```"
Implement Breadth-First Search (BFS) algorithm to find the shortest path between two nodes in an undirected graph with weighted edges.,"Input: adjacency list of a graph with 5 nodes and edge weights as follows:
[([1, 2, 4], []), ([3], [2, 5, 1]), ([], [4]), ([3, 5], []), ([1], [3])]
Start node: 1
End node: 4
Output: The shortest path is [1, 2, 4].","The BFS algorithm explores the graph level by level, starting from the source node. It maintains a queue to keep track of the nodes to be visited next and a visited set to avoid revisiting the same node. The algorithm assigns a distance value to each node, initially setting the distance of the source node to 0 and infinity for all other nodes. At each step, the algorithm dequeues the node with the smallest distance and updates the distances of its unvisited neighbors. The shortest path is found by tracing back the path from the end node to the source node.","Here is a Python solution using the BFS algorithm. The solution uses the built-in collections.deque and collections.defaultdict data structures.

import collections

def bfs(graph, start, end):
    queue = collections.deque([(start, [start])])
    visited = set()
    while queue:
        node, path = queue.popleft()
        if node == end:
            return path
        visited.add(node)
        for neighbor, weight in graph[node]:
            if neighbor not in visited:
                queue.append((neighbor, path + [neighbor]))
    return None

    def print_shortest_path(graph, start, end):
        path = bfs(graph, start, end)
        if path is None:
            print('No path found')
        else:
            print('Shortest path:', path)

    graph = {
        0: [(1, 4), (2, 2)],
        1: [(0, 4), (2, 1), (3, 5)],
        2: [(0, 2), (1, 1), (3, 1), (4, 3)],
        3: [(1, 5), (2, 1), (4, 1)],
        4: [(0, 4), (2, 3), (3, 1)]
    }
    print_shortest_path(graph, 1, 4)"
