question,example,reasoning,solution
Write a function to find the union of two sets.,"Input: {1, 2, 3} and {3, 4, 5}; Output: {1, 2, 3, 4, 5}","To find the union of two sets, we combine the elements of both sets without duplicates.",Use the built-in `union` method of the set object. Here's the Python code:
Implement a dictionary to store the frequency of each word in a given sentence.,"Input: 'The quick brown fox jumps over the lazy dog'; Output: {'The': 1, 'quick': 1, 'brown': 1, 'fox': 1, 'jumps': 1, 'over': 1, 'the': 2, 'lazy': 1, 'dog': 1}","We create a dictionary and iterate through each word in the sentence. If the word is already in the dictionary, we increment its count by 1. If the word is not in the dictionary, we add it with a count of 1.","def word_frequency(sentence):
    words = sentence.split()
    freq = {} 
    for word in words:
        if word in freq:
            freq[word] += 1
        else:
            freq[word] = 1
    return freq"
"Write a function to implement a stack using a list and perform the following operations: push, pop, and peek.","Input: push(3), push(2), pop(), peek(), Output: [3, 2], 2",We can implement a stack using a list by adding elements to the end of the list (push) and removing elements from the end of the list (pop). The top element of the stack can be accessed using the last element of the list (peek).,"class Stack:
    def __init__(self):
        self.stack = []
    def push(self, item):
        self.stack.append(item)
    def pop(self):
        if not self.is_empty():
            return self.stack.pop()
        else:
            raise IndexError('Stack is empty')
    def peek(self):
        if not self.is_empty():
            return self.stack[-1]
        else:
            raise IndexError('Stack is empty')
    def is_empty(self):
        return len(self.stack) == 0"
Find the first non-repeating character in a string.,"Input: 'programming'
Output: 'r'","1. Initialize an empty dictionary to store the count of each character in the string.
2. Iterate through the string and update the count of each character in the dictionary.
3. Iterate through the dictionary and find the first character that appears only once.
4. Return the character.","def first_non_repeating(s):
    count = {} 
    for c in s:
        if c in count:
            count[c] += 1
        else:
            count[c] = 1
    for c in count:
        if count[c] == 1:
            return c"
Implement a stack data structure to perform depth-first search (DFS) on a graph.,"Input: Adjacency list of a graph:
[ [1, 2, 3], [0, 2], [0, 1, 3, 4], [1, 3, 4], [2, 3] ]; Output: [0, 1, 3, 2, 4]","To perform DFS on a graph, we can use a stack to keep track of the nodes to visit next. We start from an arbitrary node, push it onto the stack, and mark it as visited. Then, we pop the top node from the stack and explore its unvisited neighbors by pushing them onto the stack. We repeat this process until the stack is empty.","```python
from collections import defaultdict

class Graph:
    def __init__(self, vertices):
        self.graph = defaultdict(list)
        self.V = vertices

    def add_edge(self, u, v):
        self.graph[u].append(v)

    def DFS(self, v, visited):
        visited[v] = True
        print(v, end=' ') 
        for neighbor in self.graph[v]:
            if visited[neighbor] is False:
                self.DFS(neighbor, visited)

    def dfs(self):
        visited = [False] * self.V
        for node in range(self.V):
            if visited[node] is False:
                self.DFS(node, visited)

# Test the function
graph = Graph(5)
graph.add_edge(0, 1)
graph.add_edge(0, 2)
graph.add_edge(1, 3)
graph.add_edge(1, 4)
graph.add_edge(2, 3)

graph.dfs() # Output: 0 1 3 2 4```"
"Implement a Set data structure that supports the following operations: insert, delete, check membership, union, intersection, and difference.","Input: set1 = {'a', 'b', 'c'}; set2 = {'c', 'd', 'e'}; Output: set1 = {'a', 'b', 'c'}; set2 = {'c', 'd', 'e'}; set1.union(set2) = {'a', 'b', 'c', 'd', 'e'}; set1.intersection(set2) = {'c'}; set1.difference(set2) = {'a', 'b'}","To implement a Set data structure, we can use a Hash Table or a Tree-based structure. The Set data structure supports the following operations: insert, delete, check membership, union, intersection, and difference. We will use a Hash Table for this implementation.","```python
class Set: 
    def __init__(self): 
        self.data = {} 

    def add(self, item): 
        if item not in self.data: 
            self.data[item] = 1

    def remove(self, item): 
        if item in self.data: 
            del self.data[item]

    def contains(self, item): 
        return item in self.data

    def union(self, other): 
        result = Set() 
        for item in self.data: 
            result.add(item)
        for item in other.data: 
            result.add(item)
        return result

    def intersection(self, other): 
        result = Set() 
        for item in self.data: 
            if item in other.data: 
                result.add(item)
        return result

    def difference(self, other): 
        result = Set() 
        for item in self.data: 
            if item not in other.data: 
                result.add(item)
        return result

# Test the functions
set1 = Set()
set1.add('a')
set1.add('b')
set1.add('c')
set2 = Set()
set2.add('c')
set2.add('d')
set2.add('e')
print(set1)
print(set2)
print(set1.union(set2))
print(set1.intersection(set2))
print(set1.difference(set2))```"
Implement a dictionary to store the frequency of words in a given text.,"Input: 'the quick brown fox jumps over the lazy dog'; Output: {'the': 1, 'quick': 1, 'brown': 1, 'fox': 1, 'jumps': 1, 'over': 1, 'lazy': 1, 'dog': 1}","We can solve this problem by iterating through the text and using a dictionary to store the frequency of each word. We split the text into words and iterate through the words, updating the frequency of each word in the dictionary if it already exists or adding it to the dictionary if it doesn't.","def word_frequency(text):
    words = text.split()
    freq = {} 
    for word in words:
        if word in freq:
            freq[word] += 1
        else:
            freq[word] = 1
    return freq"
Create a graph and find the shortest path between two nodes.,"Input: (A, B, C, D, E, F)
(A, B), (A, C), (B, D), (C, D), (C, E), (D, E), (D, F), (E, F)
A
F
Output: 4","The task requires creating a graph and finding the shortest path between two nodes using Dijkstra's algorithm. The graph is represented as a list of tuples, where each tuple represents an edge between two nodes.","```python
from collections import defaultdict

input_nodes = list(map(str, input().split()))
edges = [tuple(map(str, edge)) for edge in list(map(lambda x: x.split(','), input().split()))]
start_node = input()
end_node = input()

graph = defaultdict(list)
for edge in edges:
    graph[edge[0]].append(edge[1])
    graph[edge[1]].append(edge[0])

def dijkstra(graph, start_node, end_node):
    distances = {node: float('inf') for node in graph}
    distances[start_node] = 0
    visited = set()
    while len(visited) < len(graph):
        current_node = min(graph, key=lambda node: distances.get(node, float('inf')))
        if current_node not in visited:
            visited.add(current_node)
            for neighbor in graph[current_node]:
                if neighbor not in visited:
                    new_distance = distances[current_node] + 1
                    if new_distance < distances.get(neighbor, float('inf')):
                        distances[neighbor] = new_distance
    return distances[end_node]

print(dijkstra(graph, start_node, end_node))```"
"Implement a Stack data structure using Python's built-in list and implement the push, pop, and peek operations.","Input: push(3)
push(5)
peek()
pop()
Output: 5
3","A Stack is a Last-In-First-Out (LIFO) data structure. We can implement a Stack using a list in Python by adding elements to the end of the list and removing elements from the end of the list. The push operation adds an element to the top of the stack, the pop operation removes an element from the top of the stack, and the peek operation returns the top element of the stack without removing it.","```python
class Stack:
    def __init__(self):
        self.items = []

    def push(self, item):
        self.items.append(item)

    def pop(self):
        if not self.is_empty():
            return self.items.pop()
        else:
            raise IndexError('The stack is empty')

    def peek(self):
        if not self.is_empty():
            return self.items[-1]
        else:
            raise IndexError('The stack is empty')

    def is_empty(self):
        return len(self.items) == 0

stack = Stack()
stack.push(3)
stack.push(5)
print(stack.peek())
stack.pop()
print(stack.pop())
```"
Implement a binary tree data structure using Python's built-in list data structure.,"Input: A list of integers [1, 2, 3, 4, 5, 6, 7]
Output: A binary tree with the root node as 1, left child as 2 and right child as a subtree with root node as 3, left child as 4 and right child as a subtree with root node as 5, left child as 6 and right child as 7.
Note: The binary tree should be represented as a list of lists, where each inner list represents a node and its children, and the empty list represents a null child.","A binary tree is a tree in which each node has at most two children, called the left child and the right child. The binary tree can be represented as a list of lists, where each inner list represents a node and its children. The root node is the first element of the list, and its children are the elements of the list after the root node. If a node has no children, it is represented as an empty list.","Here is a Python solution using Python's built-in list data structure.

class Node:
    def __init__(self, value):
        self.value = value
        self.left = None
        self.right = None

def build_tree(values):
    if not values:
        return None
    root = Node(values[0])
    left_values = values[1:] // 2
    right_values = values[1:] - left_values
    root.left = build_tree(left_values)
    root.right = build_tree(right_values)
    return root

    def print_tree(node):
        if node is None:
            return
        print(node.value)
        print_tree(node.left)
        print_tree(node.right)

    values = [1, 2, 3, 4, 5, 6, 7]
    tree = build_tree(values)
    print_tree(tree)"
